030473,023202,004267,008645,000678
002338,004445,006081,012135,032377
022106,035497,026782,005595,034957
029543,007954,022135,038982,031848
039501,025471,025685,035867,011922
012155,016052,020806,034876,019860
017417,011429,022144,016481,026953
001795,021357,004129,001248,031523
008665,011411,001803,025796,027735
005291,001484,003906,000964,004031
009743,023654,038304,036778,028603
019484,020653,019816,036688,020262
016309,039641,038104,015757,013986
025114,023325,024234,013242,028688
012813,005340,011967,020602,029151
026456,020986,039862,005472,001890
004547,005074,036271,022198,013539
015448,003638,002827,011528,000715
002973,005429,025161,037387,039869
016584,007942,024598,001361,031564
008831,018980,023303,013405,038853
019204,019670,028480,023079,039297
024169,003079,022650,024679,029041
001546,034664,035150,009519,018029
037387,001860,001590,005724,024408
027787,005971,024617,025199,000098
012038,001577,016321,037260,004971
026269,026129,024529,037166,015264
006020,036501,026793,007551,029339
039667,011077,024781,007838,035913
033991,021644,001275,007349,035302
019045,024450,009462,024518,021945
001501,004258,011380,025131,024479
028195,005382,031030,025792,038201
009915,020458,036633,034001,031236
002585,020095,022795,008453,021575
014796,026001,015202,026865,019599
002088,026447,002247,014194,010431
007542,018235,029734,015862,002910
027757,018769,016655,020552,025699
004944,008064,002462,016932,024134
015202,018388,009595,001907,025706
004878,020053,013071,003495,014694
002116,027022,019092,016538,005313
024577,025726,002261,005451,001026
000310,025154,004344,028729,025704
028791,007075,016812,024459,006883
014352,029339,018491,001900,014945
012905,000326,027883,004454,004389
004615,008478,026871,019252,000270
005487,004235,022244,015330,008345
015591,026643,006451,001766,004238
010438,019183,007356,019473,012023
027292,000952,021667,002122,016847
007632,018369,004434,028835,015523
012554,026967,025798,001560,022655
020239,017331,002619,007206,001270
002110,029630,001834,027855,024421
024303,007771,028264,019872,013560
009369,013181,023060,027751,018960
022178,026683,000700,029761,018705
004294,008123,020894,019341,025832
026357,020478,026899,011295,010168
029611,002845,028269,015782,015995
032128,026251,005771,006228,008560
008608,012753,032428,036671,024077
028321,025938,013540,038293,027190
006982,006947,038965,006807,002831
011818,028312,003233,016330,031226
005100,002928,004675,011596,000027
008740,021409,028468,022679,036781
022408,034362,010698,012984,032964
026178,016075,032929,026179,035337
003736,007359,023119,034217,001534
002678,003552,008538,020545,029412
038143,000404,008212,019141,024572
038506,001470,034715,009122,009261
030455,004805,008523,001644,011902
014313,032115,019587,034222,023431
018782,005032,018994,004968,003394
031677,038725,016900,001183,003842
034704,008949,017301,019005,018555
026961,009512,008163,039675,027143
006806,011567,004121,005062,039234
029609,003913,000030,015966,031666
023704,039124,002260,014424,009835
016561,025569,017799,030808,019884
005882,010514,027473,012564,029409
014953,012627,010691,036935,030821
035981,028542,035587,034481,015807
025166,019210,026721,020478,027251
007639,011049,030500,039794,039383
030762,022676,031853,033954,018982
016380,002543,002212,005981,031234
006219,034623,012284,002354,030882
032261,008648,007110,009963,022593
034907,011530,014505,000846,034209
000752,015134,019935,007507,039377
036700,005439,003529,006651,000856
036429,006356,009203,009505,007075
014554,023755,026483,013723,017824
010880,039398,006985,035406,029139
033384,038667,001943,008287,038790
019508,016425,035902,004242,035515
026148,037238,000630,038086,037597
024707,027682,007919,024821,007213
032372,035183,015656,026791,028664
007392,001706,032677,015855,009829
007882,026026,009994,006903,013720
034624,037475,004183,012229,018683
023826,013590,025686,027313,039321
004731,021473,007614,031544,022521
038158,000284,029254,010078,031778
027420,008610,034377,032123,016763
022801,000945,013126,017787,030182
000739,011244,031421,000846,033760
010542,037082,021155,034071,020482
024084,002579,005162,018574,038427
028003,010045,006581,010749,016257
028756,030613,025485,025094,037060
017760,034633,038532,026889,002053
033530,004206,003778,027276,030708
030907,030824,018501,032382,009264
037297,017604,004821,030799,031447
004248,038128,024240,029055,008198
007024,003772,004119,005253,019149
028077,019149,010799,039617,036469
026050,036376,039236,001629,022430
016689,026425,039551,015324,026619
005100,003276,037500,029527,010577
032109,003176,006945,005992,027930
000784,005326,016521,014724,017418
011945,013404,020344,036572,031813
005273,013066,004163,032763,028391
036800,032662,002756,035752,001131
009276,013660,024098,009509,005189
026920,022065,034824,011641,018380
018997,036916,021716,036740,033108
031499,030152,025015,018934,037195
008418,012977,015738,004134,027804
010603,020134,016268,020427,001514
013010,016046,038243,017159,003400
016842,005221,016051,012843,035342
005450,031816,019344,027641,008428
025199,037737,017686,020330,033017
034662,000676,012588,005575,016026
037140,023968,025050,004786,023158
029147,020388,016561,001615,021264
009660,004319,008631,036154,011914
037686,031601,030383,008330,004169
013521,013351,029278,026949,007051
019868,018848,021385,019580,019900
003172,020568,026709,037996,007993
016245,027575,033483,012302,011464
002618,008020,023029,017645,001620
027597,012669,033855,011854,033533
026576,025092,025291,006051,001841
037278,022123,029548,029403,000479
002639,011886,000414,036639,006969
028316,001583,018407,019917,031007
004751,024197,011816,006869,016040
023753,007862,001749,019945,033203
010061,023400,007291,036511,027611
019824,032296,013686,025618,011622
020112,017912,003777,027803,033981
027984,003218,005365,011733,017361
007403,001172,016655,004953,001013
035352,031816,008656,011011,025946
013389,018765,003929,012416,021154
035282,002009,017767,002895,017676
029624,016421,010769,003336,005982
028040,016168,000092,022742,028613
002615,025733,011028,004438,039153
005769,025759,034358,028753,013235
024333,030623,019698,004342,036873
023114,037481,029219,000561,038581
