AnoMesDia,Instancia,DataSource,QtdConexoesCriadasDia
20241209,srvpje1goutjb06,JFAP,0
20241209,srvpje1goutjb06,JFBA,0
20241209,srvpje1goutjb06,JFDF,0
20241209,srvpje1goutjb06,JFGO,0
20241209,srvpje1goutjb06,JFMA,0
20241209,srvpje1goutjb06,JFMG,0
20241209,srvpje1goutjb06,JFMT,0
20241209,srvpje1goutjb06,JFO,0
20241209,srvpje1goutjb06,JFPA,0
20241209,srvpje1goutjb06,JFPI,0
20241209,srvpje1goutjb06,JFRO,0
20241209,srvpje1goutjb06,JFRR,0
20241209,srvpje1goutjb06,JFTO,0
20241209,srvpje1goutjb06,MBA,0
20241209,srvpje1goutjb06,PSS,0
20241209,srvpje1goutjb06,PjeDS,6283
20241209,srvpje1goutjb06,PjeDspace,0
20241209,srvpje1goutjb06,PjeLogDS,90
20241209,srvpje1goutjb06,STM,0
20241209,srvpje1goutjb06,TBT,0
20241209,srvpje1goutjb06,TRF1,0
20241209,srvpje1goutjb06,UBE,0
20241209,srvpje1goutjb06,UDI,0
20241209,srvpje1goutjb07,ILS,0
20241209,srvpje1goutjb07,ITZ,0
20241209,srvpje1goutjb07,JFAC,0
20241209,srvpje1goutjb07,JFAM,0
20241209,srvpje1goutjb07,JFAP2,0
20241209,srvpje1goutjb07,JFAP,0
20241209,srvpje1goutjb07,JFBA,0
20241209,srvpje1goutjb07,JFDF,0
20241209,srvpje1goutjb07,JFGO,0
20241209,srvpje1goutjb07,JFMA,0
20241209,srvpje1goutjb07,JFMG,0
20241209,srvpje1goutjb07,JFMT,0
20241209,srvpje1goutjb07,JFO,0
20241209,srvpje1goutjb07,JFPA,0
20241209,srvpje1goutjb07,JFPI,0
20241209,srvpje1goutjb07,JFRO,0
20241209,srvpje1goutjb07,JFRR,0
20241209,srvpje1goutjb07,JFTO,0
20241209,srvpje1goutjb07,MBA,0
20241209,srvpje1goutjb07,PSS,0
20241209,srvpje1goutjb07,PjeDS,6534
20241209,srvpje1goutjb07,PjeDspace,0
20241209,srvpje1goutjb07,PjeLogDS,83
20241209,srvpje1goutjb07,STM,0
20241209,srvpje1goutjb07,TBT,0
20241209,srvpje1goutjb07,TRF1,0
20241209,srvpje1goutjb07,UBE,0
20241209,srvpje1goutjb07,UDI,0
20241209,srvpje1goutjb08,ILS,0
20241209,srvpje1goutjb08,ITZ,0
20241209,srvpje1goutjb08,JFAC,0
20241209,srvpje1goutjb08,JFAM,0
20241209,srvpje1goutjb08,JFAP2,0
20241209,srvpje1goutjb08,JFAP,0
20241209,srvpje1goutjb08,JFBA,0
20241209,srvpje1goutjb08,JFDF,0
20241209,srvpje1goutjb08,JFGO,0
20241209,srvpje1goutjb08,JFMA,0
20241209,srvpje1goutjb08,JFMG,0
20241209,srvpje1goutjb08,JFMT,0
20241209,srvpje1goutjb08,JFO,0
20241209,srvpje1goutjb08,JFPA,0
20241209,srvpje1goutjb08,JFPI,0
20241209,srvpje1goutjb08,JFRO,0
20241209,srvpje1goutjb08,JFRR,0
20241209,srvpje1goutjb08,JFTO,0
20241209,srvpje1goutjb08,MBA,0
20241209,srvpje1goutjb08,PSS,0
20241209,srvpje1goutjb08,PjeDS,6585
20241209,srvpje1goutjb08,PjeDspace,0
20241209,srvpje1goutjb08,PjeLogDS,89
20241209,srvpje1goutjb08,STM,0
20241209,srvpje1goutjb08,TBT,0
20241209,srvpje1goutjb08,TRF1,0
20241209,srvpje1goutjb08,UBE,0
20241209,srvpje1goutjb08,UDI,0
20241209,srvpje1goutjb09,ILS,0
20241209,srvpje1goutjb09,ITZ,0
20241209,srvpje1goutjb09,JFAC,0
20241209,srvpje1goutjb09,JFAM,0
20241209,srvpje1goutjb09,JFAP2,0
20241209,srvpje1goutjb09,JFAP,0
20241209,srvpje1goutjb09,JFBA,0
20241209,srvpje1goutjb09,JFDF,0
20241209,srvpje1goutjb09,JFGO,0
20241209,srvpje1goutjb09,JFMA,0
20241209,srvpje1goutjb09,JFMG,0
20241209,srvpje1goutjb09,JFMT,0
20241209,srvpje1goutjb09,JFO,0
20241209,srvpje1goutjb09,JFPA,0
20241209,srvpje1goutjb09,JFPI,0
20241209,srvpje1goutjb09,JFRO,0
20241209,srvpje1goutjb09,JFRR,0
20241209,srvpje1goutjb09,JFTO,0
20241209,srvpje1goutjb09,MBA,0
20241209,srvpje1goutjb09,PSS,0
20241209,srvpje1goutjb09,PjeDS,6491
20241209,srvpje1goutjb09,PjeDspace,0
20241209,srvpje1goutjb09,PjeLogDS,70
20241209,srvpje1goutjb09,STM,0
20241209,srvpje1goutjb09,TBT,0
20241209,srvpje1goutjb09,TRF1,0
20241209,srvpje1goutjb09,UBE,0
20241209,srvpje1goutjb09,UDI,0
20241209,srvpje1goutjb10,ILS,0
20241209,srvpje1goutjb10,ITZ,0
20241209,srvpje1goutjb10,JFAC,0
20241209,srvpje1goutjb10,JFAM,0
20241209,srvpje1goutjb10,JFAP2,0
20241209,srvpje1goutjb10,JFAP,0
20241209,srvpje1goutjb10,JFBA,0
20241209,srvpje1goutjb10,JFDF,0
20241209,srvpje1goutjb10,JFGO,0
20241209,srvpje1goutjb10,JFMA,0
20241209,srvpje1goutjb10,JFMG,0
20241209,srvpje1goutjb10,JFMT,0
20241209,srvpje1goutjb10,JFO,0
20241209,srvpje1goutjb10,JFPA,0
20241209,srvpje1goutjb10,JFPI,0
20241209,srvpje1goutjb10,JFRO,0
20241209,srvpje1goutjb10,JFRR,0
20241209,srvpje1goutjb10,JFTO,0
20241209,srvpje1goutjb10,MBA,0
20241209,srvpje1goutjb10,PSS,0
20241209,srvpje1goutjb10,PjeDS,6716
20241209,srvpje1goutjb10,PjeDspace,0
20241209,srvpje1goutjb10,PjeLogDS,100
20241209,srvpje1goutjb10,STM,0
20241209,srvpje1goutjb10,TBT,0
20241209,srvpje1goutjb10,TRF1,0
20241209,srvpje1goutjb10,UBE,0
20241209,srvpje1goutjb10,UDI,0
